#{"t_start": 1555703881.123479, "env_id": "SuperMarioBros-1-1-v0"}
r,l,t
576,4239,21.798345
19,727,25.093758
155,398,26.878307
746,6541,56.228205
928,2918,69.562707
264,7997,107.506789
697,1395,114.465119
989,1709,122.543688
546,1834,131.361585
664,2205,142.156747
248,7997,179.952302
185,791,183.724011
794,5508,212.94135
588,928,217.710055
159,464,219.791617
373,8055,258.143762
193,7997,297.254793
718,1571,305.212116
895,3488,321.287792
529,2360,333.622517
200,7997,373.129123
156,434,375.580326
918,3112,390.714275
168,278,392.457877
423,3734,410.534118
540,2241,421.040411
597,2715,434.597743
170,368,436.780885
206,8056,476.051305
46,560,478.580277
598,1100,484.472001
352,7760,522.160075
562,1130,527.815411
171,290,529.282243
144,460,531.42546
205,7997,570.362703
176,404,572.103998
141,775,575.637688
756,7486,611.864695
489,6217,641.094966
265,7997,679.681555
642,2396,691.978697
129,522,694.446749
425,8055,736.893599
1324,5618,764.403512
583,2927,779.552796
540,2221,792.141059
209,284,793.481986
41,550,795.988666
174,274,797.289162
515,5659,829.214507
835,4752,857.182426
921,2848,874.370978
217,641,878.757936
693,7174,918.721775
568,4075,939.110425
519,2865,953.232164
426,4785,976.264494
323,7990,1015.70579
171,466,1017.998902
103,643,1021.139652
534,2109,1032.067403
182,376,1033.902371
133,571,1037.442329
430,8110,1079.473895
166,444,1081.597739
152,516,1083.853115
197,272,1085.14537
529,5413,1112.158882
218,290,1113.521134
572,1862,1123.779694
205,7997,1166.158269
536,2155,1178.056346
125,410,1180.39239
47,1519,1190.028202
616,7997,1234.755664
23,552,1237.252009
444,3710,1258.560791
183,398,1260.481035
490,5535,1290.527033
751,1210,1296.208486
336,5393,1323.202045
250,7997,1365.295668
150,663,1368.273255
498,4608,1392.000427
103,466,1394.466389
582,3186,1410.678623
232,171,1412.644185
149,510,1415.108
77,404,1417.436747
247,7997,1460.963906
263,8056,1502.440565
196,388,1504.252815
162,516,1508.032116
91,651,1511.468797
